id	norm	tau0	eta/s	N_pi_1020	N_pi_2030	N_pi_3040	N_pi_4050	N_K_1020	N_K_2030	N_K_3040	N_K_4050	N_p_1020	N_p_2030	N_p_3040	N_p_4050	v_2_1020	v_2_2030	v_2_3040	v_2_4050
180	117.37849	0.54784	0.13252	762.98300	503.53600	323.93000	197.56500	122.77200	81.85500	53.04800	32.39400	38.81200	26.06100	16.97400	10.75300	0.05970	0.07970	0.09260	0.09710
181	224.55270	0.33931	0.02279	835.47600	554.88600	357.99100	217.38600	133.33600	89.81400	58.02700	35.53400	42.17200	28.43500	18.85000	11.42400	0.07470	0.10600	0.12370	0.13590
182	336.41811	0.96491	0.16748	3642.07300	2427.19800	1567.03700	965.21000	576.80300	387.21100	252.01900	156.03900	179.97200	122.19300	79.60100	50.47200	0.06690	0.09030	0.10590	0.11120
183	207.14781	0.51317	0.07206	1191.48300	793.42500	512.50200	315.06100	190.93700	128.25200	83.37000	51.72100	60.10900	40.58800	26.57900	16.57600	0.07120	0.09650	0.11400	0.12240
184	317.93390	0.54491	0.18037	2033.60700	1353.91900	874.16600	535.12600	323.60100	217.94900	142.04000	87.69700	101.93400	69.37500	45.37100	28.33400	0.06430	0.08640	0.10000	0.10540
185	189.98627	1.19264	0.05553	2448.66400	1624.52900	1040.66000	638.79500	386.84600	259.46700	167.61700	103.31200	121.62000	80.99700	53.26600	33.12000	0.07330	0.10010	0.11840	0.12770
186	326.64240	0.85934	0.03099	3030.43600	2018.07400	1300.14100	797.36300	479.12100	321.80600	209.29300	129.07800	149.62700	101.67400	66.20500	41.15500	0.07940	0.11060	0.13060	0.14150
187	173.89396	0.59078	0.06265	1150.81900	767.64200	494.95400	303.84900	184.65000	122.93400	80.24700	49.68400	57.90200	38.93600	25.48700	16.17000	0.07040	0.09570	0.11520	0.12060
188	99.82736	0.41521	0.06521	488.41500	324.05700	208.80300	127.17600	78.91800	52.29200	34.06200	20.87600	24.98600	16.91600	10.72900	6.76000	0.06170	0.08540	0.10060	0.10730
189	194.89404	1.17902	0.12085	2546.88000	1687.77800	1089.60200	669.97400	403.65300	269.97400	175.34400	108.11100	125.88800	85.05800	55.25500	34.74700	0.06680	0.09080	0.10670	0.11390
190	180.14394	0.34131	0.11300	746.97600	497.12100	320.08900	194.22300	120.52800	79.76100	51.75300	32.26100	38.09200	25.69100	16.77500	10.44200	0.06310	0.08550	0.09990	0.10210
191	348.82339	0.58472	0.13904	2340.11400	1551.19200	1000.02600	615.36100	372.45400	248.20500	161.37500	99.59600	116.79100	78.49600	51.62500	32.15900	0.06910	0.09360	0.10800	0.11540
192	345.70823	0.74743	0.04407	2819.56400	1873.71600	1208.87000	741.28200	446.74400	299.99200	194.74100	119.66500	140.28800	94.29700	61.96100	38.06700	0.07940	0.10880	0.12940	0.14210
193	157.54291	0.28941	0.07481	545.44300	365.28400	234.87800	143.55500	88.47400	59.20800	38.36100	23.55700	27.94000	19.01800	12.59000	7.70000	0.06390	0.08820	0.10270	0.10910
194	337.80199	0.81179	0.12190	3055.79800	2033.98600	1317.59900	807.56200	485.46600	325.36800	212.89500	131.16300	152.07200	102.70900	67.71000	41.96200	0.07210	0.09760	0.11510	0.12120
195	311.21331	0.30419	0.16516	1194.32900	793.74300	511.36500	313.93000	190.95200	128.35200	83.31100	51.49000	60.71300	41.09700	26.62100	16.45900	0.06260	0.08420	0.09780	0.10100
196	341.52067	0.82469	0.09227	3112.58500	2075.72100	1333.30500	815.18100	494.70800	331.47900	214.77300	132.43300	154.79200	104.18400	68.40600	42.21200	0.07330	0.10110	0.12030	0.12910
197	250.74270	0.67721	0.13860	1955.66300	1301.56300	832.68000	509.65500	311.11000	207.72200	135.75100	82.80900	97.62900	66.22000	43.23000	26.40100	0.06670	0.09080	0.10560	0.11050
198	170.90841	1.03428	0.03627	1916.89400	1271.33200	818.03200	501.68800	302.99700	203.45200	132.27800	81.77200	95.46500	63.73800	42.20200	26.00100	0.07400	0.10040	0.12050	0.13330
199	187.19210	0.80316	0.02678	1623.88400	1080.40800	702.02500	431.40100	258.72900	173.20800	112.54700	69.90100	80.87300	54.40200	35.99500	22.46300	0.07570	0.10450	0.12350	0.13550
